question,positive_negative_relation
남들의 주목을 받는 것이 딱히 부담스럽지 않고 개의치 않는다.,+
"나는 사람들 앞에 섰을 때, 그들의 마음을 사로잡고 주목받게 만드는 방법을 본능적으로 안다",+
나는 사람들에게 관심이 많은 편이다. ,+
나는 친해질 때까지 시간이 꽤 걸리는 편이다,-
결과물이 완벽해질 때까지 끈질기게 붙들고 늘어지는 편이다.,+
종종 물건을 둔 자리를 깜빡하거나 제자리에 두는 것을 잊는다.,-
나는 웬만해서는 우울감에 빠지지 않는다.,-
사소한 일에도 남들보다 쉽게 스트레스를 받는 편이다.,+
"하루에도 기분이 좋았다가 나빴다가, 감정의 기복이 잦다",+
나는 불평을 자주 하는 편이다,+
"평소 어휘력이 풍부하다는 소리를 듣거나, 다양한 단어 쓰기를 좋아한다",+
물건을 살 때 나만의 독특함을 드러낼 수 있는지가 중요한 목표다,+
남들이 가진 물건이나 풍족한 생활을 별로 부러워하지 않는 편이다,-
더 바랄 게 없다. 나는 지금 인생을 즐기는 데 필요한 모든 것을 이미 다 가지고 있다고 생각한다,-
기능이 다가 아니다. 아름답고 훌륭한 디자인은 세상을 더 살기 좋은 곳으로 만든다고 믿는다,+
남들은 그냥 지나치는 디자인의 디테일 차이를 알아채는 눈썰미가 뛰어난 편이다.,+
대중적인 vs 유니크한,+
강렬한 vs 차분한,+
복잡한 vs 심플한,+
물직적 가치 vs 의미적 가치,+
브랜드가 중요하다,+
기능성이 중요하다,+
오락성이 중요하다,+
휴식이 중요하다,+
환경과 사회에 기여하는 인증이  존재하는 것이 중요하다,+
질감 선호: 부드러움 vs 딱딱함,+
질감 선호: 거친 vs 매끈함,+
광택 선호: 무광 vs 유광,+
색상 선호: 채도 낮은 vs 채도 높은,+
색상 선호: 명도 낮은 vs 명도 높은,+
색상 선호: 한색 vs 난색,+
감성에 대한 선호: 우아함,+
감성에 대한 선호: 귀여움,+
감성에 대한 선호: 현대적,+
감성에 대한 선호: 고급스러움,+
감성에 대한 선호: 따뜻함,+
감성에 대한 선호: vivid,+
감성에 대한 선호: 날카로움/쿨함,+
