question,response_1,pn_response_1,response_2,pn_response_2
친한 친구여도 선은 필요하다. 나의 사생활과 개인적인 영역을 지키는 것은 무엇보다 중요하다.,O,-,X,+
나는 아이들을 좋아하고 함께 있는 시간이 즐겁다.,O,+,X,-
"솔직히 말하면, 남들이 겪는 문제나 하소연에 별로 관심이 안 간다.",O,-,X,+
나는 완벽주의가 있는 편이다. ,O,+,X,-
복잡하고 속을 알기 어려운 사람은 피하고 싶다,O,-,X,+
"남들이 TPO(상황)에 안 맞게 입었다고 눈치를 줘도, 나는 내 스타일대로 입을 것이다.",O,+,X,-
누구나 사는 대중적인 브랜드나 제품은 피하려고 노력한다,O,+,X,-
마음에 드는 영화는 두 번이고 세 번이고 반복해서 다시 보는 것을 즐긴다,O,-,X,+
"좋은 향기든 나쁜 냄새든, 남의 체취가 느껴지는 것 자체가 싫다.",O,-,X,+
커피나 에너지 드링크 같은 각성제를 먹으면 몸이 불편해진다.,O,-,X,+
나는 평소 한 번도 먹어보지 못한 낯선 음식 메뉴에 도전하는 것을 즐긴다,O,+,X,-
기회만 된다면 스카이다이빙 같은 익스트림 스포츠를 꼭 해보고 싶다.,O,+,X,-
술을 한두 잔 정도 마시면 기분이 정말 좋아진다.,O,+,X,-
충동구매 없이 주로 내게 꼭 필요한 물건 위주로만 산다,O,-,X,+
디자인이 마음이 꽂혀서 홀린듯이 물건을 산 적이 꽤 있다,O,+,X,-
